epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1557.47,0.61755,0.93096,0.92384,0.92173,0.73574,0.75341,0.66323,1.19407,1.81969,0.93019,0.000465948,0.000465948,0.000465948
119,1570.65,0.61121,0.92051,0.92286,0.9108,0.73826,0.75265,0.66251,1.19358,1.84834,0.93337,0.000461218,0.000461218,0.000461218
120,1583.96,0.6033,0.91732,0.91945,0.91988,0.74485,0.75507,0.66635,1.16546,1.78355,0.92775,0.000456479,0.000456479,0.000456479
121,1597.33,0.60204,0.9078,0.91503,0.89581,0.74485,0.75432,0.66316,1.18816,1.78863,0.9315,0.000451733,0.000451733,0.000451733
122,1611.81,0.59208,0.89772,0.90679,0.91324,0.74061,0.75128,0.66329,1.1766,1.82755,0.92917,0.000446979,0.000446979,0.000446979
123,1625.32,0.60014,0.91138,0.91597,0.92766,0.73814,0.75607,0.66631,1.20729,1.80888,0.93179,0.00044222,0.00044222,0.00044222
124,1639.13,0.59507,0.89332,0.91472,0.90485,0.74243,0.75421,0.66707,1.16914,1.77675,0.92618,0.000437454,0.000437454,0.000437454
125,1651.99,0.60917,0.91828,0.91505,0.90068,0.74551,0.75374,0.6638,1.18797,1.82948,0.9302,0.000432684,0.000432684,0.000432684
126,1665.94,0.5818,0.8829,0.91071,0.89699,0.74498,0.75233,0.66449,1.18712,1.80715,0.93324,0.00042791,0.00042791,0.00042791
127,1679.05,0.61096,0.91416,0.91336,0.90684,0.73919,0.75532,0.6641,1.1848,1.8096,0.93609,0.000423132,0.000423132,0.000423132
128,1691.09,0.59665,0.9095,0.91506,0.91191,0.74032,0.75359,0.66665,1.16915,1.79636,0.92791,0.000418352,0.000418352,0.000418352
129,1704.24,0.60035,0.90739,0.91597,0.90963,0.74,0.75478,0.66899,1.17082,1.77459,0.92564,0.000413569,0.000413569,0.000413569
130,1718.7,0.59214,0.90008,0.91143,0.9191,0.74007,0.75841,0.66908,1.17041,1.75739,0.92563,0.000408785,0.000408785,0.000408785
131,1732.33,0.59541,0.88223,0.91563,0.92203,0.7325,0.75478,0.66813,1.17674,1.75047,0.92386,0.000404,0.000404,0.000404
132,1745.16,0.58756,0.87865,0.90837,0.9213,0.73766,0.75533,0.6676,1.1678,1.77111,0.92309,0.000399215,0.000399215,0.000399215
133,1758.57,0.58059,0.87474,0.90818,0.92111,0.7409,0.75773,0.66765,1.18097,1.77525,0.9257,0.000394431,0.000394431,0.000394431
134,1772.68,0.59043,0.89055,0.90765,0.92455,0.73932,0.75663,0.66815,1.17441,1.74419,0.92508,0.000389648,0.000389648,0.000389648
135,1785.38,0.58802,0.89057,0.91015,0.91992,0.74072,0.75771,0.66965,1.17929,1.75747,0.93603,0.000384868,0.000384868,0.000384868
136,1798.37,0.57263,0.85878,0.90737,0.91219,0.74002,0.75722,0.67049,1.18378,1.7384,0.9308,0.00038009,0.00038009,0.00038009
137,1811.93,0.57675,0.87236,0.90886,0.9111,0.7467,0.75566,0.66648,1.16329,1.73356,0.92641,0.000375316,0.000375316,0.000375316
138,1825.91,0.58803,0.89515,0.91273,0.9178,0.74419,0.75888,0.66758,1.15064,1.72655,0.93253,0.000370546,0.000370546,0.000370546
139,1839.44,0.5787,0.87616,0.90299,0.89826,0.74393,0.75796,0.66775,1.17838,1.7757,0.93555,0.00036578,0.00036578,0.00036578
140,1852.1,0.58766,0.88517,0.91197,0.9092,0.74301,0.75857,0.66852,1.18494,1.75934,0.93104,0.000361021,0.000361021,0.000361021
141,1865.29,0.57328,0.87018,0.90275,0.91421,0.74696,0.7614,0.6719,1.15975,1.72414,0.92522,0.000356267,0.000356267,0.000356267
142,1879.52,0.57,0.86271,0.90368,0.91479,0.74797,0.76017,0.67105,1.15887,1.74173,0.92169,0.000351521,0.000351521,0.000351521
143,1892.5,0.57783,0.8599,0.90807,0.92785,0.74091,0.76008,0.67058,1.16565,1.75661,0.92135,0.000346782,0.000346782,0.000346782
144,1906.53,0.57812,0.86749,0.91381,0.92361,0.73968,0.75817,0.67016,1.14524,1.74929,0.9172,0.000342052,0.000342052,0.000342052
145,1919.31,0.57776,0.85827,0.90727,0.92623,0.73801,0.75842,0.67128,1.14319,1.72714,0.91706,0.000337331,0.000337331,0.000337331
146,1932.71,0.57152,0.8534,0.90606,0.92425,0.74076,0.76149,0.67181,1.1678,1.75929,0.92635,0.000332619,0.000332619,0.000332619
147,1946.09,0.57606,0.87373,0.91096,0.9208,0.74471,0.75844,0.67084,1.161,1.74491,0.92303,0.000327918,0.000327918,0.000327918
148,1959.47,0.57396,0.85724,0.9081,0.9276,0.73964,0.75822,0.67164,1.14883,1.73655,0.91873,0.000323228,0.000323228,0.000323228
149,1972.7,0.56805,0.85359,0.90572,0.92927,0.73735,0.75814,0.67082,1.1666,1.73078,0.92676,0.000318549,0.000318549,0.000318549
150,1985.48,0.57704,0.85716,0.90767,0.9191,0.7378,0.75668,0.67021,1.16587,1.72982,0.92513,0.000313884,0.000313884,0.000313884
151,2000.1,0.57879,0.86329,0.90567,0.93346,0.73464,0.7558,0.66979,1.15861,1.76893,0.92605,0.000309231,0.000309231,0.000309231
152,2013.46,0.56494,0.85487,0.90035,0.93338,0.73839,0.75773,0.67138,1.16278,1.76349,0.92297,0.000304592,0.000304592,0.000304592
153,2025.95,0.57353,0.8604,0.90168,0.93264,0.73993,0.75738,0.67161,1.15807,1.7521,0.92003,0.000299968,0.000299968,0.000299968
154,2038.92,0.56689,0.84431,0.90282,0.92425,0.7438,0.76041,0.67096,1.1551,1.73318,0.9201,0.000295359,0.000295359,0.000295359
155,2051.97,0.55717,0.84369,0.90268,0.91899,0.74498,0.75994,0.66804,1.15694,1.74183,0.92531,0.000290766,0.000290766,0.000290766
156,2065.6,0.55415,0.81581,0.90186,0.91842,0.74077,0.75908,0.66921,1.16919,1.74394,0.92663,0.000286189,0.000286189,0.000286189
157,2078.15,0.57266,0.85048,0.90378,0.91053,0.74261,0.75842,0.66862,1.16252,1.73607,0.923,0.000281629,0.000281629,0.000281629
158,2091.4,0.55849,0.83534,0.90356,0.9151,0.74375,0.76027,0.67144,1.15609,1.73265,0.92001,0.000277088,0.000277088,0.000277088
159,2104.7,0.55725,0.83047,0.90298,0.91455,0.74411,0.75948,0.67164,1.15099,1.73322,0.92091,0.000272564,0.000272564,0.000272564
160,2118.11,0.56167,0.85123,0.9046,0.90277,0.75071,0.76067,0.67182,1.14518,1.73935,0.91835,0.000268061,0.000268061,0.000268061
161,2131.55,0.56567,0.83257,0.90212,0.91784,0.74587,0.75898,0.67265,1.14849,1.73512,0.91842,0.000263576,0.000263576,0.000263576
162,2144.95,0.56082,0.83904,0.90518,0.91955,0.74391,0.75958,0.67341,1.14605,1.72716,0.92048,0.000259113,0.000259113,0.000259113
163,2157.56,0.55069,0.81662,0.90232,0.91372,0.74204,0.75727,0.67092,1.15165,1.73753,0.92252,0.00025467,0.00025467,0.00025467
164,2171.11,0.56066,0.83325,0.90227,0.92838,0.73612,0.75844,0.67251,1.15262,1.73263,0.91986,0.00025025,0.00025025,0.00025025
165,2184.09,0.56524,0.84493,0.90236,0.92175,0.73378,0.75694,0.67135,1.16017,1.74036,0.92082,0.000245852,0.000245852,0.000245852
166,2197.12,0.56344,0.83462,0.89964,0.89568,0.74398,0.75826,0.67121,1.15499,1.75332,0.91893,0.000241477,0.000241477,0.000241477
167,2211.08,0.55727,0.82927,0.90112,0.91923,0.73686,0.75828,0.67217,1.15584,1.73233,0.92193,0.000237125,0.000237125,0.000237125
168,2224.98,0.55104,0.80705,0.89559,0.91987,0.74016,0.76053,0.67339,1.15364,1.71999,0.921,0.000232798,0.000232798,0.000232798
