epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,1708.66,0.9255,1.31203,0.00592,0.92578,0.73996,0.76542,0.67563,1.39473,2.11496,0.00694,0.000330908,0.000330908,0.000330908
125,1723.22,0.91589,1.30966,0.00589,0.93381,0.73564,0.76457,0.6753,1.38588,2.1015,0.00696,0.000325358,0.000325358,0.000325358
126,1738.25,0.92916,1.31414,0.00605,0.9349,0.73587,0.76507,0.6789,1.36662,2.13223,0.00678,0.000319824,0.000319824,0.000319824
127,1754.21,0.93531,1.3337,0.00605,0.9126,0.74494,0.76526,0.68023,1.37969,2.11026,0.00696,0.000314307,0.000314307,0.000314307
128,1770.25,0.92032,1.27581,0.006,0.93252,0.74343,0.76691,0.68042,1.37343,2.10502,0.00682,0.000308809,0.000308809,0.000308809
129,1784.26,0.92586,1.30251,0.00605,0.93281,0.7446,0.76725,0.68117,1.37518,2.11132,0.00683,0.00030333,0.00030333,0.00030333
130,1797.29,0.90857,1.27355,0.00579,0.93324,0.74447,0.76436,0.67735,1.39555,2.15426,0.00692,0.000297871,0.000297871,0.000297871
131,1813.55,0.91046,1.27964,0.00578,0.93858,0.7385,0.76303,0.67645,1.40295,2.17338,0.00689,0.000292434,0.000292434,0.000292434
132,1829.69,0.91488,1.26091,0.00592,0.92169,0.74708,0.76188,0.67752,1.40154,2.14889,0.00694,0.00028702,0.00028702,0.00028702
133,1845.48,0.92072,1.30637,0.00575,0.93278,0.73799,0.76264,0.67712,1.38414,2.14911,0.00683,0.000281629,0.000281629,0.000281629
134,1858.63,0.91324,1.30986,0.00579,0.92252,0.74088,0.76061,0.67716,1.38029,2.1502,0.0068,0.000276264,0.000276264,0.000276264
135,1871.58,0.91778,1.30819,0.00581,0.90515,0.74645,0.76275,0.6791,1.36993,2.1667,0.00674,0.000270924,0.000270924,0.000270924
136,1886.75,0.88361,1.24469,0.00576,0.92132,0.74392,0.76411,0.6819,1.35427,2.15663,0.00669,0.000265612,0.000265612,0.000265612
137,1901.87,0.92396,1.3055,0.00581,0.90587,0.74536,0.76347,0.67812,1.36294,2.17747,0.0068,0.000260328,0.000260328,0.000260328
138,1916.44,0.91151,1.27049,0.00558,0.92915,0.73946,0.76437,0.67951,1.356,2.14159,0.00686,0.000255073,0.000255073,0.000255073
139,1930.16,0.91169,1.26318,0.00588,0.92625,0.74115,0.76457,0.67892,1.35431,2.09779,0.00683,0.000249849,0.000249849,0.000249849
140,1946.23,0.89365,1.24567,0.00573,0.92402,0.7492,0.76419,0.68119,1.36843,2.11445,0.00681,0.000244656,0.000244656,0.000244656
141,1960.58,0.89305,1.23726,0.00568,0.94014,0.73906,0.76359,0.67954,1.36716,2.11415,0.00687,0.000239496,0.000239496,0.000239496
142,1975.36,0.90158,1.26743,0.00559,0.92183,0.74436,0.76334,0.67909,1.37432,2.11032,0.00684,0.000234369,0.000234369,0.000234369
143,1989.01,0.90998,1.24273,0.00565,0.90289,0.75229,0.7623,0.67832,1.36289,2.13139,0.00678,0.000229276,0.000229276,0.000229276
144,2002.73,0.89662,1.21567,0.00571,0.92023,0.75019,0.76492,0.68194,1.36088,2.15936,0.00669,0.00022422,0.00022422,0.00022422
145,2019.08,0.89121,1.26865,0.00555,0.9394,0.74513,0.76537,0.68295,1.35884,2.16561,0.00673,0.0002192,0.0002192,0.0002192
